date,classification,daily_pnl,trade_count,avg_trade_size
2024-02-19,Extreme Greed,4317.768563,101,2835.417821782178
2024-02-20,Greed,3263.628824,39,3062.0441025641026
2024-02-21,Extreme Greed,1858.7985700000002,22,4911.250909090909
2024-02-22,Greed,3894.1050699999996,88,4239.02125
2024-02-23,Extreme Greed,1418.55293,143,776.966013986014
2024-02-25,Greed,-30.7705,5,896.0260000000001
2024-02-26,Greed,4416.8473,39,4927.875384615385
2024-02-27,Extreme Greed,888.511733,63,3323.2111111111108
2024-02-28,Extreme Greed,2503.747235,45,3802.380666666667
2024-02-29,Extreme Greed,9813.996992,116,3410.9200862068965
2024-03-01,Extreme Greed,8244.241409,137,3452.370072992701
2024-03-02,Extreme Greed,230.90060000000005,31,2038.6309677419354
2024-03-03,Extreme Greed,8361.086245,79,4946.1478481012655
2024-03-04,Extreme Greed,27799.775742,300,5259.989566666667
2024-03-05,Extreme Greed,19791.026041,180,4676.724
2024-03-06,Extreme Greed,6814.825139,82,3990.4636585365856
2024-03-08,Extreme Greed,4271.886236,67,2740.047462686567
2024-03-09,Extreme Greed,9949.501624,117,5625.459401709401
2024-03-10,Extreme Greed,2482.9272,42,5237.472619047619
2024-03-11,Extreme Greed,3588.179495,42,4202.844047619047
2024-03-12,Extreme Greed,3039.166,8,12880.10625
2024-03-13,Extreme Greed,0.0,7,857.2571428571428
2024-03-14,Extreme Greed,3465.865832,18,11440.732222222221
2024-03-15,Extreme Greed,6236.513651,62,5675.71629032258
2024-03-16,Extreme Greed,228.57984,8,4652.9575
2024-03-17,Extreme Greed,503.293955,23,4326.389130434783
2024-03-18,Extreme Greed,1456.9577,19,4760.951578947369
2024-03-19,Extreme Greed,668.797973,24,9161.868333333334
2024-03-20,Greed,6423.134599,69,3126.171739130435
2024-03-21,Extreme Greed,2335.5080749999997,28,4210.556071428572
2024-03-24,Greed,1297.018477,19,4873.274210526315
2024-03-25,Extreme Greed,1302.916428,7,8159.4742857142855
2024-03-26,Extreme Greed,3215.906593,118,1682.7558474576272
2024-03-27,Extreme Greed,150.41114,38,2628.020789473684
2024-03-28,Extreme Greed,227.85100799999998,13,2717.209230769231
2024-03-29,Extreme Greed,883.097404,15,5794.291333333333
2024-03-30,Extreme Greed,1100.57514,45,2246.753777777778
2024-03-31,Extreme Greed,912.786145,13,3070.2276923076925
2024-04-01,Extreme Greed,2507.963406,77,4408.7074025974025
2024-04-02,Extreme Greed,883.760812,41,5845.475853658536
2024-04-03,Greed,126.7884,4,4221.8925
2024-04-04,Greed,0.0,32,2999.6165625
2024-04-05,Extreme Greed,10706.484306,100,5037.918
2024-04-06,Extreme Greed,236.33513399999998,16,4263.979375
2024-04-07,Extreme Greed,0.0,23,2173.397391304348
2024-04-08,Extreme Greed,1218.4267,30,7064.688
2024-04-09,Extreme Greed,0.0,3,19021.280000000002
2024-04-10,Extreme Greed,5207.443414,41,8578.926097560974
2024-04-11,Extreme Greed,389.743164,16,4775.06
2024-04-12,Extreme Greed,-592.6458390000001,129,3427.0433333333335
2024-04-13,Greed,6621.451755,89,5465.294943820225
2024-04-14,Greed,-36104.012520000004,107,6160.394112149533
2024-04-15,Greed,3774.08872,41,7100.272926829269
2024-04-16,Greed,2467.702221,47,3870.3653191489366
2024-04-17,Greed,2441.4683999999997,14,6968.785000000001
2024-04-19,Greed,1946.4454620000001,35,9635.940571428573
2024-04-20,Greed,0.0,22,2760.601818181818
2024-04-22,Greed,0.0,9,5332.623333333333
2024-04-23,Greed,1119.536196,66,3531.1348484848486
2024-04-24,Greed,279.185907,20,7063.762
2024-04-25,Greed,0.0,74,1624.8785135135136
2024-04-26,Greed,0.0,3,1662.7633333333335
2024-04-27,Greed,4281.488139,27,5713.498888888889
2024-04-28,Greed,0.0,58,758.3724137931034
2024-04-29,Greed,526.9338359999999,45,2415.5335555555553
2024-04-30,Greed,0.0,24,5209.114583333333
2024-05-01,Neutral,0.0,14,6216.103571428571
2024-05-03,Neutral,5306.017045,36,7852.295833333333
2024-05-04,Greed,0.0,9,6555.416666666667
2024-05-05,Greed,0.916,6,4011.391666666667
2024-05-06,Greed,968.59038,9,22890.714444444442
2024-05-07,Greed,883.537693,18,6039.865555555556
2024-05-08,Greed,1.56576,13,5074.89
2024-05-09,Greed,1147.595856,28,7927.361428571428
2024-05-10,Greed,2101.741695,22,7131.0
2024-05-11,Neutral,251.604742,9,7027.661111111111
2024-05-12,Greed,0.0,23,2399.111304347826
2024-05-13,Greed,2136.853859,28,6897.103571428571
2024-05-14,Greed,1150.5233050000002,23,6341.452173913043
2024-05-15,Greed,948.970582,36,6525.626944444444
2024-05-16,Greed,214.5898,27,6022.998518518518
2024-05-18,Greed,3522.3946610000003,25,5052.1256
2024-05-19,Greed,0.0,8,3749.76125
2024-05-20,Greed,-74.818442,10,3812.475
2024-05-21,Extreme Greed,7289.397571999999,125,8807.588720000002
2024-05-22,Extreme Greed,0.0,6,7499.215
2024-05-23,Extreme Greed,413.347329,325,1236.4633846153845
2024-05-24,Greed,821.949278,2,25405.949999999997
2024-05-25,Extreme Greed,14.126038999999999,16,1874.4456249999998
2024-05-26,Extreme Greed,778.6839,16,3373.541875
2024-05-27,Greed,1129.35587,251,602.0546613545816
2024-05-29,Greed,277.791953,164,513.8339024390243
2024-05-30,Greed,20.951433,7,405.4414285714286
2024-05-31,Greed,25.35812,13,279.70307692307694
2024-06-01,Greed,91.510419,25,513.3848
2024-06-02,Greed,192.906947,93,316.822688172043
2024-06-03,Greed,562.808208,70,306.66942857142857
2024-06-04,Greed,52.211438,53,457.42283018867926
2024-06-05,Extreme Greed,56.055506,54,469.4587037037037
2024-06-06,Extreme Greed,274.173187,234,587.8536752136753
2024-06-07,Extreme Greed,8902.467416,440,2496.7926363636366
2024-06-08,Greed,129.13883900000002,29,3356.961379310345
2024-06-09,Extreme Greed,0.0,17,1318.2482352941176
2024-06-10,Greed,31.266804999999998,53,879.0175471698113
2024-06-11,Greed,4320.631811,123,3034.7960975609753
2024-06-12,Greed,-21886.531493,254,761.4486614173228
2024-06-13,Greed,6632.757115,79,1678.1926582278481
2024-06-14,Greed,10258.592609,31,4511.892258064517
2024-06-15,Greed,3369.958346,78,9209.61858974359
2024-06-16,Greed,0.0,11,2294.0981818181817
2024-06-17,Greed,10599.502375,38,9694.213684210526
2024-06-18,Greed,282.57636,25,10532.5916
2024-06-19,Greed,4887.656944,61,6837.231475409836
2024-06-20,Greed,57478.456026,39,5333.097435897435
2024-06-21,Greed,773.5582039999999,80,2203.306125
2024-06-22,Neutral,756.876565,24,7066.427916666667
2024-06-23,Greed,0.0,5,358.424
2024-06-24,Neutral,0.0,31,13000.090322580645
2024-06-25,Fear,4869.353105,49,2104.062857142857
2024-06-26,Neutral,4197.732182,72,5072.092500000001
2024-06-27,Fear,0.0,30,4349.565
2024-06-29,Fear,6150.326145,75,3734.6014666666665
2024-06-30,Neutral,0.0,14,2180.049285714286
2024-07-01,Neutral,5065.839308,64,5666.721093749999
2024-07-02,Neutral,2421.253116,18,1852.6372222222224
2024-07-03,Neutral,1118.387284,18,9977.814444444444
2024-07-04,Fear,0.0,25,17222.720400000002
2024-07-05,Fear,0.0,32,8509.0590625
2024-07-06,Fear,108.87217799999999,24,103.75708333333334
2024-07-07,Fear,61.428942,10,49.875
2024-07-08,Fear,0.0,1,497.64
2024-07-09,Fear,648.984412,15,182.42999999999998
2024-07-10,Fear,11977.734907,56,12283.93232142857
2024-07-11,Fear,1876.812082,19,8941.422105263156
2024-07-12,Fear,1412.314654,19,4714.893157894737
2024-07-13,Fear,2913.617837,17,8187.599411764706
2024-07-14,Fear,0.0,7,12000.16142857143
2024-07-15,Neutral,-1.0,26,7628.6480769230775
2024-07-16,Greed,0.0,22,6545.480454545454
2024-07-17,Greed,1859.269477,351,1783.4915384615385
2024-07-18,Greed,3803.884311,60,10828.414166666666
2024-07-19,Greed,2155.891114,23,6533.453043478262
2024-07-20,Greed,2299.169566,266,918.65492481203
2024-07-21,Greed,-2960.716887,448,523.0077232142856
2024-07-22,Greed,1517.119876,154,1975.4142857142856
2024-07-23,Greed,89890.302206,370,968.9906486486486
2024-07-24,Greed,625.561479,90,768.977
2024-07-25,Greed,916.7382600000001,78,6776.350128205129
2024-07-26,Greed,2766.513113,152,3609.1292763157894
2024-07-27,Greed,6400.623656,57,15880.697368421053
2024-07-28,Greed,587.29903,16,2703.4175
2024-07-29,Greed,330.80445399999996,39,8389.72153846154
2024-07-30,Greed,0.0,6,6001.078333333334
2024-07-31,Greed,765.690884,43,1965.2683720930231
2024-08-01,Neutral,167.080017,57,3996.044385964912
2024-08-02,Greed,782.3681909999999,63,6290.799523809524
2024-08-03,Fear,464.1897,37,7852.239459459459
2024-08-04,Fear,-122672.000883,127,9509.795826771655
2024-08-05,Fear,-13013.665169,80,5256.1925
2024-08-06,Extreme Fear,267.318048,107,574.5642990654205
2024-08-07,Fear,188.789255,33,75.53848484848484
2024-08-08,Extreme Fear,-40.712216999999995,9,1811.038888888889
2024-08-09,Neutral,18082.071276,144,3494.4781944444444
2024-08-10,Fear,0.0,88,128.8555681818182
2024-08-11,Fear,847.7766200000001,24,1842.9254166666667
2024-08-12,Fear,858.6705000000001,48,1128.4858333333334
2024-08-13,Fear,212.08102,23,904.2552173913043
2024-08-14,Fear,2168.9015130000003,25,2668.4012
